name,link,dir_cn
Ang Lee,/name/nm0000487/,"Pingtung, Taiwan"
Paul Thomas Anderson,/name/nm0000759/,"Studio City, California, USA"
Roman Polanski,/name/nm0000591/,"Paris, France"
Steven Spielberg,/name/nm0000229/,"Cincinnati, Ohio, USA"
Ang Lee,/name/nm0000487/,"Pingtung, Taiwan"
Clint Eastwood,/name/nm0000142/,"San Francisco, California, USA"
László Nemes,/name/nm1841577/,"Budapest, Hungary"
David O. Russell,/name/nm0751102/,"Manhattan, New York City, New York, USA"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
Susanne Bier,/name/nm0081540/,"Copenhagen, Denmark"
Michel Gondry,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Richard Linklater,/name/nm0000500/,"Houston, Texas, USA"
Christopher Nolan,/name/nm0634240/,"London, England, UK"
Paul Thomas Anderson,/name/nm0000759/,"Studio City, California, USA"
Christopher Nolan,/name/nm0634240/,"London, England, UK"
Andrew Stanton,/name/nm0004056/,"Boston, Massachusetts, USA"
George Miller,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Quentin Tarantino,/name/nm0000233/,"Knoxville, Tennessee, USA"
Alfonso Cuarón,/name/nm0190859/,"Mexico City, Distrito Federal, Mexico"
Terrence Malick,/name/nm0000517/,"Ottawa, Illinois, USA"
Edward Yang,/name/nm0945981/,"Shanghai, China"
Lee Chang-dong,/name/nm0496969/,"Daegu, South Korea"
Michel Gondry,/name/nm0327273/,"Versailles, Seine-et-Oise [now Yvelines], France"
Michael Haneke,/name/nm0359734/,"Munich, Bavaria, Germany"
Luca Guadagnino,/name/nm0345174/,"Palermo, Sicily, Italy"
László Nemes,/name/nm1841577/,"Budapest, Hungary"
Andrew Stanton,/name/nm0004056/,"Boston, Massachusetts, USA"
Larry Charles,/name/nm0153078/,"Brooklyn, New York City, New York, USA"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
PaweÅ Pawlikowski,/name/nm0667734/,"Warsaw, Mazowieckie, Poland"
Richard Linklater,/name/nm0000500/,"Houston, Texas, USA"
László Nemes,/name/nm1841577/,"Budapest, Hungary"
Hirokazu Koreeda,/name/nm0466153/,"Tokyo, Japan"
Pedro Almodóvar,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Alejandro González Iñárritu,/name/nm0327944/,"Mexico City, Distrito Federal, Mexico"
Damián Szifrón,/name/nm1167933/,"Ramos Mejía, Buenos Aires, Argentina"
Bouli Lanners,/name/nm0099521/,"Moresnet-Chapelle, Belgium"
Xavier Dolan,/name/nm0230859/,"Montreal, Quebec, Canada"
John Akomfrah,/name/nm0015497/,"London, England, UK"
Apichatpong Weerasethakul,/name/nm0917405/,"Bangkok, Thailand"
Khalo Matabane,/name/nm1988834/,NaN
Abderrahmane Sissako,/name/nm0803066/,"Kiffa, Mauritania"
Judy Kibinge,/name/nm1834196/,NaN
Ousmane Sembène,/name/nm0783733/,"Ziguenchor, Casamance, Senegal"
Nanfu Wang,/name/nm6811599/,"Jiangxi Province, China"
Charlie Kaufman,/name/nm0442109/,"New York City, New York, USA"
Ang Lee,/name/nm0000487/,"Pingtung, Taiwan"
Andrew Haigh,/name/nm0354091/,"Harrogate, North Yorkshire, England, UK"
Cristian Mungiu,/name/nm0612816/,"Iasi, Romania"
Hayao Miyazaki,/name/nm0594503/,"Tokyo, Japan"
David France,/name/nm0289800/,NaN
Pedro Almodóvar,/name/nm0000264/,"Calzada de Calatrava, Ciudad Real, Castilla-La Mancha, Spain"
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Todd Haynes,/name/nm0001331/,"Los Angeles, California, USA"
Terrence Malick,/name/nm0000517/,"Ottawa, Illinois, USA"
George Miller,/name/nm0004306/,"Chinchilla, Queensland, Australia"
Spike Lee,/name/nm0000490/,"Atlanta, Georgia, USA"
Travis Wilkerson,/name/nm1288933/,"Denver, Colorado, USA"
Gina Prince-Bythewood,/name/nm0697656/,USA
Wong Kar-wai,/name/nm0939182/,"Shanghai, China"
Abderrahmane Sissako,/name/nm0803066/,"Kiffa, Mauritania"
Nuri Bilge Ceylan,/name/nm0149196/,"Istanbul, Turkey"
Don Hertzfeldt,/name/nm0381116/,"Fremont, California, USA"
Robert Greene,/name/nm1914992/,"Charlotte, North Carolina, USA"
Sofia Coppola,/name/nm0001068/,"New York City, New York, USA"
Todd Haynes,/name/nm0001331/,"Los Angeles, California, USA"
Edward Yang,/name/nm0945981/,"Shanghai, China"
Lars von Trier,/name/nm0001885/,"Copenhagen, Denmark"
Abbas Kiarostami,/name/nm0452102/,"Tehran, Iran"
Hayao Miyazaki,/name/nm0594503/,"Tokyo, Japan"
Don Hertzfeldt,/name/nm0381116/,"Fremont, California, USA"
David Lynch,/name/nm0000186/,"Missoula, Montana, USA"
Claire Denis,/name/nm0219136/,"Paris, France"
Jacob Krupnick,/name/nm4937026/,NaN
Cameron Crowe,/name/nm0001081/,"Palm Springs, California, USA"
Michael Mann,/name/nm0000520/,"Chicago, Illinois, USA"
John Crowley,/name/nm1259871/,"Cork, Ireland"
Dan Gilroy,/name/nm0319659/,"Santa Monica, California, USA"
Jeff Nichols,/name/nm2158772/,"Little Rock, Arkansas, USA"
Wes Anderson,/name/nm0027572/,"Houston, Texas, USA"
Asif Kapadia,/name/nm0438090/,"Hackney, London, England, UK"
Noah Baumbach,/name/nm0000876/,"Brooklyn, New York City, New York, USA"
Yorgos Lanthimos,/name/nm0487166/,"Athens, Greece"
Roy Andersson,/name/nm0027815/,"Gothenburg, Västra Götalands län, Sweden"
